"industry","firm","notes","pdf","start_url"
"automotive","ford","",0,"https://media.ford.com/content/fordmedia/fna/us/en/news/2019/03/13/mustang-shelby-gt500-supercomputers-3d-printing.html"
"automotive","fca","fiat|chrylser|Alfa Romeo|Dodge|Maserati|Jeep|Ram",0,""
"automotive","gm","Buick|Cadillac|Chevrolet|GMC|Holden|LaSalle",0,""
"automotive","groupe_psa","Peugeot|Citroën|DS|Opel|Vauxhall",0,"https://media.groupe-psa.com/en/free2move-paris-extends-its-car-sharing-service-issy-les-moulineaux"
"automotive","renault","",0,""
"automotive","volkswagen","VW|Audi|Bentley|Bugatti|Lamborghini|Porsche|Skoda|SEAT",0,""
"automotive","bmw","BMW|Mini Cooper|Rolls Royce",0,""
"automotive","daimler","Mercedes|Smart",0,""
"automotive","hyundai","hyndai|kia",0,""
"automotive","toyota","",0,""
"automotive","honda","",0,""
"automotive","nissan","",0,""
"automotive","fiat","",0,""
"automotive","suzuki","",0,""
"automotive","mazda","",0,""
